type	cv
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	1
votu	1
votu	1
votu	3
votu	1
votu	2
votu	2
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	3
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	1
votu	2
votu	1
votu	4
votu	1
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	2
votu	1
votu	1
votu	1
votu	1
votu	2
votu	1
votu	2
votu	1
votu	1
votu	1
