sample_size	sample_times	vcs
420000	7	1241
420000	8	1237
420000	9	1234
424000	0	1243
424000	1	1241
424000	2	1242
424000	3	1241
424000	4	1244
424000	5	1241
424000	6	1239
424000	7	1236
424000	8	1236
424000	9	1243
428000	0	1246
428000	1	1245
428000	2	1247
428000	3	1243
428000	4	1246
428000	5	1246
428000	6	1245
428000	7	1243
428000	8	1248
428000	9	1247
