sample_size	sample_times	vcs
380000	6	93985
380000	7	93889
380000	8	93844
380000	9	93910
384000	0	94583
384000	1	94557
384000	2	94635
384000	3	94656
384000	4	94604
384000	5	94583
384000	6	94665
384000	7	94523
384000	8	94583
384000	9	94472
388000	0	95222
388000	1	95215
388000	2	95264
388000	3	95125
388000	4	95103
388000	5	95161
388000	6	95410
388000	7	95184
388000	8	95128
388000	9	95192
392000	0	95941
392000	1	95887
392000	2	95784
392000	3	95924
392000	4	95830
392000	5	95913
392000	6	95890
392000	7	95926
392000	8	95902
392000	9	95898
396000	0	96538
396000	1	96455
396000	2	96502
396000	3	96578
396000	4	96529
396000	5	96419
396000	6	96527
396000	7	96628
396000	8	96502
396000	9	96538
400000	0	97133
400000	1	97173
400000	2	97232
400000	3	97256
400000	4	97281
400000	5	97248
400000	6	97208
400000	7	97224
400000	8	97234
400000	9	97187
404000	0	97852
404000	1	97904
404000	2	97804
404000	3	97745
404000	4	97914
404000	5	97830
404000	6	97878
404000	7	97845
404000	8	97900
404000	9	97890
408000	0	98493
408000	1	98425
408000	2	98485
408000	3	98551
408000	4	98577
408000	5	98537
408000	6	98515
408000	7	98445
408000	8	98493
408000	9	98449
412000	0	99203
412000	1	99241
412000	2	99110
412000	3	99118
412000	4	99135
412000	5	99170
412000	6	99142
412000	7	99098
412000	8	99110
412000	9	99059
416000	0	99793
416000	1	99773
416000	2	99745
416000	3	99798
416000	4	99753
416000	5	99680
416000	6	99681
416000	7	99793
416000	8	99797
416000	9	99815
420000	0	100439
420000	1	100460
420000	2	100396
420000	3	100440
420000	4	100413
420000	5	100416
420000	6	100467
420000	7	100442
420000	8	100386
420000	9	100420
424000	0	101084
424000	1	101029
424000	2	101007
424000	3	101041
424000	4	101054
424000	5	101092
424000	6	101082
424000	7	101028
424000	8	101063
424000	9	101048
428000	0	101652
428000	1	101660
428000	2	101683
428000	3	101666
428000	4	101694
428000	5	101664
428000	6	101695
428000	7	101686
428000	8	101670
428000	9	101673
