Genome	type
BDP_354101	BDP
BDP_354232	BDP
BDP_354830	BDP
BDP_354915	BDP
BDP_355363	BDP
BDP_356461	BDP
BDP_356542	BDP
BDP_356671	BDP
BDP_357051	BDP
BDP_357095	BDP
BDP_357571	BDP
BDP_358888	BDP
BDP_358956	BDP
BDP_359208	BDP
BDP_359326	BDP
BDP_360150	BDP
BDP_360541	BDP
BDP_360902	BDP
BDP_361327	BDP
BDP_361928	BDP
BDP_362745	BDP
BDP_363049	BDP
BDP_363545	BDP
BDP_363649	BDP
BDP_364732	BDP
BDP_364827	BDP
BDP_365197	BDP
BDP_365676	BDP
BDP_365956	BDP
BDP_366548	BDP
BDP_366648	BDP
BDP_366933	BDP
BDP_366967	BDP
BDP_367655	BDP
BDP_367896	BDP
BDP_367983	BDP
BDP_368080	BDP
BDP_368447	BDP
BDP_36885	BDP
BDP_369063	BDP
BDP_369158	BDP
BDP_369917	BDP
BDP_371159	BDP
BDP_371560	BDP
BDP_372174	BDP
BDP_372616	BDP
BDP_372757	BDP
BDP_373142	BDP
BDP_37318	BDP
BDP_373985	BDP
BDP_374146	BDP
BDP_374179	BDP
BDP_374621	BDP
BDP_374911	BDP
BDP_375155	BDP
BDP_375385	BDP
BDP_375573	BDP
BDP_37655	BDP
BDP_377405	BDP
BDP_37787	BDP
BDP_377984	BDP
BDP_378011	BDP
BDP_378623	BDP
BDP_379970	BDP
BDP_380075	BDP
BDP_380936	BDP
BDP_381021	BDP
BDP_381370	BDP
BDP_382059	BDP
BDP_382065	BDP
BDP_382177	BDP
BDP_382373	BDP
BDP_382590	BDP
BDP_382781	BDP
BDP_382833	BDP
BDP_382867	BDP
BDP_384978	BDP
BDP_385544	BDP
BDP_385736	BDP
BDP_385988	BDP
BDP_38699	BDP
BDP_387500	BDP
BDP_387714	BDP
BDP_388105	BDP
BDP_388195	BDP
BDP_388215	BDP
BDP_388443	BDP
BDP_388509	BDP
BDP_389019	BDP
BDP_389205	BDP
BDP_389425	BDP
BDP_389618	BDP
BDP_389706	BDP
BDP_389716	BDP
BDP_389719	BDP
BDP_390201	BDP
BDP_390892	BDP
BDP_391166	BDP
BDP_391579	BDP
BDP_391584	BDP
BDP_391592	BDP
BDP_391918	BDP
BDP_392867	BDP
BDP_392966	BDP
BDP_392987	BDP
BDP_39344	BDP
BDP_393537	BDP
BDP_394186	BDP
BDP_394319	BDP
BDP_39445	BDP
BDP_394512	BDP
BDP_394761	BDP
BDP_396027	BDP
BDP_396236	BDP
BDP_396501	BDP
BDP_3967	BDP
BDP_397070	BDP
BDP_397652	BDP
BDP_397781	BDP
BDP_39784	BDP
BDP_397851	BDP
BDP_398274	BDP
BDP_398733	BDP
BDP_399433	BDP
BDP_399487	BDP
BDP_399656	BDP
BDP_399858	BDP
BDP_400896	BDP
BDP_401115	BDP
BDP_401260	BDP
BDP_401512	BDP
BDP_401687	BDP
BDP_401751	BDP
BDP_401752	BDP
BDP_401753	BDP
BDP_40184	BDP
BDP_401952	BDP
BDP_402355	BDP
BDP_402754	BDP
BDP_404015	BDP
BDP_404354	BDP
BDP_404954	BDP
BDP_404961	BDP
BDP_405469	BDP
BDP_405924	BDP
BDP_406021	BDP
BDP_406221	BDP
BDP_4066	BDP
BDP_407231	BDP
BDP_407856	BDP
BDP_407951	BDP
BDP_408416	BDP
BDP_409231	BDP
BDP_409334	BDP
BDP_41025	BDP
BDP_410452	BDP
BDP_410753	BDP
BDP_411064	BDP
BDP_411631	BDP
BDP_411665	BDP
BDP_411753	BDP
BDP_411962	BDP
BDP_412040	BDP
BDP_412377	BDP
BDP_412724	BDP
BDP_412920	BDP
BDP_41313	BDP
BDP_413272	BDP
BDP_41346	BDP
BDP_413741	BDP
BDP_414820	BDP
BDP_41511	BDP
BDP_415120	BDP
BDP_416060	BDP
BDP_416475	BDP
BDP_416495	BDP
BDP_416746	BDP
BDP_416926	BDP
BDP_417261	BDP
BDP_41730	BDP
BDP_417530	BDP
BDP_418186	BDP
BDP_418325	BDP
BDP_4187	BDP
BDP_419106	BDP
BDP_41925	BDP
BDP_419646	BDP
BDP_419920	BDP
BDP_421483	BDP
BDP_421485	BDP
BDP_421686	BDP
BDP_42172	BDP
BDP_422049	BDP
BDP_422337	BDP
BDP_422355	BDP
BDP_422790	BDP
BDP_423512	BDP
BDP_423800	BDP
BDP_42524	BDP
BDP_426041	BDP
BDP_426042	BDP
